code,name,level
CI005354.WI,铁路(中信),3
CI005355.WI,公交(中信),3
CI005356.WI,物流(中信),3
CI005357.WI,航运(中信),3
CI005358.WI,港口(中信),3
CI005359.WI,航空(中信),3
CI005360.WI,机场(中信),3
CI005361.WI,半导体Ⅲ(中信),3
CI005362.WI,电子设备Ⅲ(中信),3
CI005363.WI,其他元器件Ⅲ(中信),3
CI005364.WI,电信运营Ⅲ(中信),3
CI005366.WI,增值服务Ⅲ(中信),3
CI005367.WI,PC及服务器硬件(中信),3
CI005368.WI,专用计算机设备(中信),3
CI005369.WI,平面媒体(中信),3
CI005370.WI,广播电视(中信),3
CI005371.WI,电影动画(中信),3
CI005372.WI,互联网(中信),3
CI005373.WI,整合营销(中信),3
CI005374.WI,综合Ⅲ(中信),3
CI005375.WI,动力设备(中信),3
CI005376.WI,其他通信设备制造(中信),3
CI005377.WI,通信终端及配件(中信),3
CI005378.WI,网络覆盖优化与运维(中信),3
CI005379.WI,网络接配及塔设(中信),3
CI005380.WI,系统设备(中信),3
CI005381.WI,线缆(中信),3
CI005382.WI,基础软件及套装软件(中信),3
CI005383.WI,行业应用软件(中信),3
CI005384.WI,IT外包服务(中信),3
CI005385.WI,系统集成及IT咨询(中信),3
CI005386.WI,棉纺制品(中信),3
CI005387.WI,非棉纺织品(中信),3
CI005388.WI,印染(中信),3
CI005389.WI,服装及服饰制品(中信),3
CI005390.WI,高端及奢侈品(中信),3
CI005391.WI,大众品牌(中信),3
CI005392.WI,休闲快时尚(中信),3
CI005393.WI,体育及户外(中信),3
CI005394.WI,家纺(中信),3
CI005395.WI,教育(中信),3
